"","Global_ID","Unit_Type","Off_Channel_Type","Unit_Number","Segment_Number","Notes","Max_Depth","Jam_Volume","Wood_Count","Wood_Volume","N_Ballisted","N_ChFrm","N_Wet","Undercut_Count","Undercut_L","Undercut_Volume","d50","d84","Perc_Fines","Perc_Gravels","Perc_Cobbles","Perc_Boulders"
"15","b21efcba-62e5-48c8-ae5d-e71e8bdbd7ec","Pool","",35,1,"",1.45,0,0,0,0,0,0,0,0,0,NA,NA,60,20,10,10
"16","a5afef1c-4d71-473a-8a08-e6be8277454d","Pool","",39,1,"",0.72,0,0,0,0,0,0,0,0,0,NA,NA,20,20,50,10
"17","91b24798-8440-4d29-85e0-3e2ceefb2874","Pool","",42,1,"",1.05,0,0,0,0,0,0,0,0,0,NA,NA,30,30,30,10
"18","3658466d-a51f-4d17-b3ed-98759aa9abde","Pool","",44,1,"",1.05,0,0,0,0,0,0,0,0,0,NA,NA,10,20,60,10
"19","0ff3b075-6ef5-49b4-a027-71b4022e917a","Pool","",45,1,"",0.79,0,0,0,0,0,0,0,0,0,NA,NA,10,30,50,10
"20","ebb02138-52fc-41d6-ba88-b57de77ab96f","Pool","",48,1,"",1,0,1,0.329867228626928,0,1,1,0,0,0,NA,NA,10,30,50,10
"21","2c0ae3a8-6268-4951-b478-5367b4cda0dc","Pool","",50,1,"",1.12,0,0,0,0,0,0,0,0,0,NA,NA,10,20,50,20
"22","73fb2636-3f98-4d6b-9e19-f7c12e5d5fed","Pool","",52,1,"",0.78,0,0,0,0,0,0,1,7.5,1.1655,NA,NA,0,40,60,0
"23","9467c96c-b967-4993-a032-051583a6d332","Pool","",53,1,"",0.7,0,5,0.907032776962811,1,1,2,1,3,0.792,NA,NA,10,30,60,0
"24","80fc017a-c639-4f33-83f0-8ae606305dca","Pool","",55,1,"",1.4,0,14,3.87691383008902,10,1,2,0,0,0,NA,NA,20,40,40,0
"25","9c3188af-d6b8-42e8-bfde-33f894d676a3","Pool","",56,1,"",1.31,0,1,1.06912324992478,0,0,1,1,5,0.703125,NA,NA,10,20,70,0
"26","e103b822-9f75-4f8b-850f-7193f2fa59d3","Pool","",59,1,"",0.9,0,0,0,0,0,0,0,0,0,NA,NA,10,50,40,0
"27","7df3e68f-d470-4164-8b20-418555e5a675","Pool","",60,1,"",0.99,0,0,0,0,0,0,1,3.5,0.09555,NA,NA,10,60,30,0
"28","282b9a09-1940-4495-86e5-22dda190f735","Pool","",62,1,"",1.1,0,2,1.22807998421479,2,2,2,1,2.7,0.6318,NA,NA,10,70,20,0
"29","13b5a5a5-3198-4c0a-8f0c-f61c175af3cc","Pool","",64,1,"",0.8,0,2,0.906035321295296,1,1,1,1,4,0.288,NA,NA,20,60,20,0
"30","1dde5775-9a3b-41af-98a0-3cb2f9a8e165","Pool","",67,1,"",1.8,0,0,0,0,0,0,0,0,0,NA,NA,40,20,40,0
"31","50a44beb-8359-414a-9f75-7033c0052086","Pool","",69,1,"",0.88,0,0,0,0,0,0,0,0,0,NA,NA,10,30,60,0
"32","ea6a792d-c2a3-46ca-8ef0-891e19cf1695","Pool","",70,1,"",1.31,15.6,2,0.395133816005256,1,1,2,1,4.8,0.8064,NA,NA,20,40,40,0
"33","2ed806bc-025a-449c-b6b7-364f79458528","Pool","",71,1,"No pool depth",NA,0,3,0.61261056745001,1,1,2,2,12.5,2.5725,NA,NA,20,30,50,0
"34","ad6d2672-8591-42c4-a805-f2312f8946f2","Pool","",73,1,"",1.25,0,4,0.965427130411411,1,1,3,1,3.4,0.34,NA,NA,10,40,50,0
"35","37cf8ff0-e40f-4c7c-8f8f-542f6192ebac","Pool","",75,1,"",0.9,0,1,0.241274315795696,1,1,1,1,4.7,1.0716,NA,NA,10,50,40,0
"36","3d10ba9d-a24a-4b7e-b43c-55501e9f6d8a","Riffle","",2,1,"",NA,0,3,0.552771081380758,1,0,0,0,0,0,77,218,NA,NA,NA,NA
"37","122791af-d4e8-47c5-a5ac-ef7ecf56233c","Riffle","",4,1,"",NA,0,1,0.905155675352291,0,0,0,0,0,0,77,218,NA,NA,NA,NA
"38","084959d3-3282-48c4-9bdb-43cdb9f0153b","Riffle","",6,1,"",NA,0,1,1.03201318670425,0,0,0,2,6.6,0.245295,77,218,NA,NA,NA,NA
"39","a9067e9e-2c95-4e80-af60-7747e4b2664f","Riffle","",8,1,"",NA,0,1,0.0653843971028376,0,0,1,0,0,0,77,218,NA,NA,NA,NA
"40","46d1f9b2-d77a-448b-a85e-af7bbc4a4688","Riffle","",10,1,"",NA,0,5,4.0091630998327,1,1,1,0,0,0,77,218,NA,NA,NA,NA
"41","7b8e25f6-29f7-4783-af4f-ff8330a9d860","Riffle","",12,1,"",NA,0,0,0,0,0,0,1,3,0.054,77,218,NA,NA,NA,NA
"42","0706bed6-061c-4501-a10e-c449100629e9","Riffle","",15,1,"",NA,0,2,0.809839754242377,1,0,0,0,0,0,77,218,NA,NA,NA,NA
