"","Global_ID","Unit_Type","Off_Channel_Type","Unit_Number","Segment_Number","Notes","Max_Depth","Jam_Volume","Wood_Count","Wood_Volume","N_Ballisted","N_ChFrm","N_Wet","Undercut_Count","Undercut_L","Undercut_Volume","d50","d84","Perc_Fines","Perc_Gravels","Perc_Cobbles","Perc_Boulders"
"27","5c4d5bd4-2c46-4f56-b11f-280387d39a0d","Pool","",94,1,"",1.04,0,0,0,0,0,0,1,3,0.10575,NA,NA,30,60,10,NA
"28","891d8ef8-0e6c-4dba-adc2-fa0774d2c12a","Pool","",88,1,"",0.86,0,0,0,0,0,0,1,4,0.1922,NA,NA,NA,100,NA,NA
"29","dda7e8ac-112c-4bac-9b26-0825dcc1a212","Pool","",89,1,"",1.27,0,0,0,0,0,0,1,15,1.17,NA,NA,10,90,NA,NA
"30","fb25d3ea-5f2d-4c3f-b17f-ca553ff3583b","Pool","",41,1,"",1.29,0,0,0,0,0,0,2,5.95,1.4341662,NA,NA,10,80,10,NA
"31","4e5eb7e1-691e-495b-933a-e5c6da6c30b3","Pool","",43,1,"",0.95,0,1,0.663661448070844,1,1,1,1,3,0.41976,NA,NA,NA,90,10,NA
"32","03751dbd-a7c6-4bdb-947d-7c030c61dff6","Pool","",45,1,"",1.7,0,0,0,0,0,0,1,3.2,0.4691968,NA,NA,60,40,NA,NA
"33","b609bb57-21ce-483b-8424-eb8edfb89065","Pool","",46,1,"",1.15,0,0,0,0,0,0,0,0,0,NA,NA,20,80,NA,NA
"34","5387c5f1-0be3-4d70-b16e-c194bf29b939","Pool","",47,1,"",1.02,0,0,0,0,0,0,2,6.55,0.1677005,NA,NA,50,50,NA,NA
"35","30c8d41c-3b28-4a62-bb77-8962b4147cae","Pool","",49,1,"",1.6,0,0,0,0,0,0,0,0,0,NA,NA,40,60,NA,NA
"36","e7f1225f-69fe-4ed3-8f90-cad0ebd4987e","Pool","",53,1,"",1.04,0,0,0,0,0,0,0,0,0,NA,NA,NA,90,10,NA
"37","73da4658-ce0c-40e7-850f-cb42a2f75776","Pool","",55,1,"",1.55,0,0,0,0,0,0,0,0,0,NA,NA,60,40,NA,NA
"38","9e410928-d3dd-4517-93c6-55116de3d983","Pool","",56,1,"",1.09,0,0,0,0,0,0,1,4,0.38016,NA,NA,10,90,NA,NA
"39","a0af680d-3e05-4cef-8080-38569014e941","Pool","",57,1,"",1.11,0,0,0,0,0,0,2,7,0.192112,NA,NA,10,90,NA,NA
"40","9d7557d6-c347-4d7b-bc87-86a1292a1569","Pool","",61,1,"",1.31,0,0,0,0,0,0,1,6,1.10592,NA,NA,20,80,NA,NA
"41","9b5985ad-b13e-4959-abfa-ac07b596eb25","Pool","",63,1,"",1.09,0,0,0,0,0,0,2,20,3.52,NA,NA,20,80,NA,NA
"42","af7022a8-be19-41f1-8d6a-04db62bdd661","Pool","",64,1,"",1.7,0,0,0,0,0,0,1,13,1.184625,NA,NA,20,70,10,NA
"43","705314a7-b06b-4747-bd38-136066cf8297","Pool","",66,1,"",1.08,0,0,0,0,0,0,1,10,0.525,NA,NA,10,90,NA,NA
"44","ce9a0923-9bf5-494b-b820-199be2344d1d","Pool","",69,1,"",1.24,0,0,0,0,0,0,0,0,0,NA,NA,10,90,NA,NA
"45","59eaac24-c03a-4235-9db5-757884e1192f","Pool","",70,1,"",1.6,0,0,0,0,0,0,0,0,0,NA,NA,10,90,NA,NA
"46","da725830-ab99-4375-a535-55c10a3a238f","Pool","",72,1,"",1.23,0,0,0,0,0,0,0,0,0,NA,NA,10,90,NA,NA
"47","817cfeb5-9321-4a66-a294-93f804b85f45","Pool","",76,1,"",1.18,0,0,0,0,0,0,0,0,0,NA,NA,20,60,20,NA
"48","178712b5-e9de-44a9-9272-f83d895fb2e4","Pool","",77,1,"",1.6,0,1,2.01061929829747,0,0,0,0,0,0,NA,NA,20,80,NA,NA
"49","6344b0cf-82d0-48b6-ab4a-e425bcda0beb","Pool","",79,1,"",1.65,0,0,0,0,0,0,0,0,0,NA,NA,20,70,10,NA
"50","0364bc08-2c42-403d-a8ff-b5203380051a","Pool","",81,1,"",1.05,0,0,0,0,0,0,0,0,0,NA,NA,NA,100,NA,NA
"51","013a761d-058e-4199-8e5a-c08f8d05f89f","Pool","",83,1,"",1.13,0,1,0.171805848243192,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA
"52","b3795d7a-7990-440e-8fcd-169c7353edbd","Pool","",85,1,"",1.6,0,0,0,0,0,0,0,0,0,NA,NA,30,70,NA,NA
"53","57727556-0a32-466f-903e-52223a6fb37b","Pool","",86,1,"",0.94,0,0,0,0,0,0,0,0,0,NA,NA,10,90,NA,NA
"54","aab383eb-94fd-4669-8cba-2530c08a19cc","Riffle","",1,1,"",NA,0,0,0,0,0,0,0,0,0,27.25,54.5,NA,NA,NA,NA
"55","687c814f-a7f1-4c06-a343-00b6c839eb58","Riffle","",7,1,"",NA,0,0,0,0,0,0,0,0,0,27.25,54.5,NA,NA,NA,NA
"56","075c8fd3-162a-4f3d-a72d-35dc2f09d527","Riffle","",9,1,"",NA,0,0,0,0,0,0,1,3.6,0.2223936,27.25,54.5,NA,NA,NA,NA
"57","ff22214b-7755-45ef-8443-9f5bdf9a1368","Riffle","",13,1,"",NA,0,0,0,0,0,0,0,0,0,27.25,54.5,NA,NA,NA,NA
"58","f8173795-f83c-4ded-a939-86c9b332c84e","Riffle","",21,1,"",NA,0,0,0,0,0,0,1,3.5,0.03381,27.25,54.5,NA,NA,NA,NA
"59","1a8b57a9-0b39-4e6f-bf73-a39e52830325","Riffle","",25,1,"",NA,0,0,0,0,0,0,1,4.3,0.1145907,27.25,54.5,NA,NA,NA,NA
"60","b4b08c40-07b7-4e3b-91dd-19af3385a4b6","Riffle","",33,1,"",NA,0,0,0,0,0,0,0,0,0,27.25,54.5,NA,NA,NA,NA
"61","63f24212-37bd-4446-a9e0-968ea0d5a940","Riffle","",38,1,"",NA,0,0,0,0,0,0,0,0,0,27.25,54.5,NA,NA,NA,NA
"62","449c73a7-d7fa-4642-a630-aa78dcf263be","Riffle","",106,1,"",NA,0,0,0,0,0,0,2,13.9,0.949536,27.25,77,NA,NA,NA,NA
"63","91a8d048-cb51-47e4-b0b5-8ebb2dda36c8","Riffle","",104,1,"",NA,0,0,0,0,0,0,1,8,3.983616,27.25,77,NA,NA,NA,NA
"64","dc16a6c9-b3bf-4506-ad87-ca186d2f3bb8","Riffle","",101,1,"",NA,0,0,0,0,0,0,0,0,0,27.25,77,NA,NA,NA,NA
"65","b59de5c2-a554-4f86-86fd-46c03d0c7613","Riffle","",95,1,"",NA,0,0,0,0,0,0,0,0,0,27.25,77,NA,NA,NA,NA
