SiteNam,Hab_Roll,FishCovNone,Prc_Grv,FstTurb_Cnt,FstNT_Cnt,CU_Cnt,Length,FstTurb_Freq,FstNT_Freq,CU_Freq,SHAPE_A,Max_Dpth,Avg_Mx_Depth,CV_Mx_Depth,Jam_Vlm,Wod_Cnt,Wod_Vlm,N_Bllst,N_ChFrm,N_Wet,Undrc_L,Undrc_A,UcutArea_Pct,Pool_A,Slowwat_Pct,SC_A,SC_Pct,Wood_Ct,LWFreq_Wet,length,straight_line,sin,sc_length,total_length,wet_braid
UpperLemhi_2018,11,88.11243723233906,25.51803844654966,1,1,4,79.3096761939,1.2608801951922655,1.2608801951922655,5.043520780769062,602.9111082686001,1.1,0.275,2,0,0,0,0,0,0,6,0.7632,0.12658582493059498,195.156302406,0.3236900095711238,NA,NA,0,0,79.68045604332147,43.44824797935365,1.8339164350467054,0,79.68045604332147,1
UpperLemhi_2018,12,82.23002872573154,48.72060070183449,0,1,5,156.2840873061,0,0.6398604088472472,3.1993020442362354,1227.1792359557,1.28,0.508,1.0916237370471413,0,0,0,0,0,0,3.6,0.123408,0.010056232731471583,871.7593459029999,0.71037654513775494,42.4906403997,0.03462464092835569,0,0,144.20214553916463,56.33330548026506,2.559802665754847,12.037008611779683,156.23915415094433,1.08347315892405
UpperLemhi_2018,13,73.43193243861084,37.96594351374369,1,1,5,126.2466779979,0.7921000503606394,0.7921000503606394,3.9605002518031966,1662.1230818346,0.84,0.324,1.3708707795053146,0,0,0,0,0,0,0,0,0,437.0493624366,0.26294644916079163,NA,NA,0,0,126.24946469409292,53.514022077831775,2.3591847480735684,0,126.24946469409292,1
UpperLemhi_2018,14,89.83223173659393,55.55160936839794,2,1,6,176.4238771052,1.1336334020181507,0.5668167010090753,3.4009002060544518,1296.843018625,0.91,0.4166666666666667,1.1032345172265052,0,0,0,0,0,0,10.5,0.30890399999999996,0.02381969101607384,556.374685436,0.42902238547415383,NA,NA,0,0,176.30390242855313,64.94671882332379,2.714592909738167,0,176.30390242855313,1
UpperLemhi_2018,15,98.2153438510281,24.683760242658174,1,1,3,196.87772304979998,0.5079294825789158,0.5079294825789158,1.5237884477367476,2349.53579508859,0,0,NaN,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,196.6857636212312,52.05690038745648,3.7782841882115625,0,196.6857636212312,1
UpperLemhi_2018,16,88.4343265644433,18.788081226680468,1,0,3,123.56485094860001,0.8092916329547274,0,2.427874898864182,911.20298615,0.71,0.46,0.867116116312136,0,0,0,0,0,0,0,0,0,285.329261963,0.3131346871113412,NA,NA,0,0,123.95266429456761,105.07750475212198,1.1796308314226929,0,123.95266429456761,1
UpperLemhi_2018,17,88.87184011397287,31.85153755517716,2,1,5,112.03070386082,1.785224881283149,0.8926124406415745,4.463062203207873,788.2442860795,0.87,0.332,1.3719540617136057,0,0,0,0,0,0,0,0,0,298.15863674,0.37825664201507275,NA,NA,0,0,126.44523928862483,56.21226344130319,2.2494244413527107,0,126.44523928862483,1
UpperLemhi_2018,18,92.48002302034902,23.060585560340265,1,1,5,156.6328426719,0.6384357092303481,0.6384357092303481,3.19217854615174,1125.0613625240999,0.91,0.32,1.3907127781285393,0,1,0.188691908756237,0,1,1,6,0.177,0.01573247521387603,167.9570432885,0.1492870068097305,53.9805037366,0.04798005294172893,1,0.6384357092303481,141.67528162573356,100.96493728006882,1.4032126938556644,14.911741363716517,156.58702298945008,1.1052529502154735
UpperLemhi_2018,19,92.11331207820191,26.336667280379768,1,0,6,153.1418315826,0.6529894475374814,0,3.917936685224889,1069.0175993397,0.77,0.47500000000000003,0.7813618341008689,0,0,0,0,0,0,5.5,0.10250000000000001,0.009588242519422616,796.339174796,0.7449261595766756,NA,NA,0,0,152.99845936012557,87.65276802012627,1.745506306486465,0,152.99845936012557,1
UpperLemhi_2018,20,91.33621618246595,7.886949154821312,1,0,5,295.7028210509,0.33817736213881694,0,1.6908868106940849,1789.2448820129,1.05,0.4,1.3721561500062591,0,0,0,0,0,0,11.3,0.657,0.036719400826837924,311.947231526,0.17434574476751302,583.4707856998999,0.32609889879550497,0,0,171.5002429550983,125.9989082452667,1.3611248330918844,124.68599516174652,296.18623811684483,1.7270310118125691
UpperLemhi_2018,21,99.78511333810107,9.115140181917198,2,0,6,271.20279527779996,0.7374555258368001,0,2.2123665775104002,2641.4372810025,1.28,0.2966666666666667,1.7582025918521753,0,0,0,0,0,0,0,0,0,300.963388726,0.11393925227396498,251.6780644665,0.09528072700290693,0,0,225.1994517719713,132.90425218446907,1.694448808600931,0,225.1994517719713,1
UpperLemhi_2018,22,96.11391630923279,14.561659976065073,1,0,6,191.7608796933,0.5214827975337762,0,3.1288967852026577,1506.159105957,0.82,0.35333333333333333,1.121078664827098,0,0,0,0,0,0,5,0.15,0.009959107202335794,465.506534428,0.30906863198375134,132.64061870199998,0.08806547606915759,0,0,160.07644781911787,77.9271939311173,2.0541795455975906,13.559105988853496,173.63555380797138,1.0847039409830916
UpperLemhi_2018,23,92.24707858012326,21.95812303464709,2,1,4,196.4925642833,1.0178502210986622,0.5089251105493311,2.0357004421973244,1324.246122771,0.51,0.1275,2,0,0,0,0,0,0,0,0,0,137.514438289,0.1038435649720835,NA,NA,0,0,196.26147658507588,145.3984158425226,1.3498185344580493,0,196.26147658507588,1
UpperLemhi_2018,24,95.55374875589797,56.99052827245167,1,0,6,146.38288433099999,0.6831399753941225,0,4.098839852364734,1504.285067565,1.07,0.6833333333333333,0.580418114283539,0,0,0,0,0,0,4.5,0.30429,0.020228213824694613,1180.371597745,0.7846728144790257,NA,NA,0,0,162.12721814429986,102.36972887803839,1.5837417947785675,0,162.12721814429986,1
UpperLemhi_2018,25,89.48598938512461,21.93854094628085,3,0,6,141.276736411,2.1234918615846623,0,4.246983723169325,1143.147262518,1.04,0.44666666666666666,1.1102009836526736,0,0,0,0,0,0,0,0,0,375.342466867,0.32834130752343893,NA,NA,0,0,141.49327879283283,109.82111834752669,1.288397722786616,0,141.49327879283283,1
UpperLemhi_2018,26,88.32976821714443,56.25477866890672,1,0,6,141.24844702062998,0.7079723856036063,0,4.247834313621637,863.6198690863,1.17,0.65,0.8098213697400025,0,0,0,0,0,0,34.5,3.55005,0.411066271987919,661.944314559,0.7664764768084013,NA,NA,0,0,140.89741992842372,118.97721802961863,1.1842386488928343,0,140.89741992842372,1
LowerLemhi_2018,1,83.96129598241997,19.441992275494606,2,0,5,134.2527373358,1.4897275390351967,0,3.724318847587992,1673.464814914,1.25,0.43,1.3992194378131464,0,12,5.009787848936768,6,3,6,33.4,4.5405999999999995,0.27132927800656165,837.267324281,0.5003196462926695,NA,NA,6,4.469182617105591,133.12994889044066,128.74981729166572,1.034020487880401,0,133.12994889044066,1
LowerLemhi_2018,2,93.14806022859112,17.27318656448842,2,0,6,172.3958715718,1.1601205885994976,0,3.4803617657984924,2085.7516598817,1.8,0.7233333333333334,1.0184978189133138,15.6,3,0.620323177414572,2,1,2,7.4,0.8493,0.04071913336260611,1107.38387813,0.5309279620531664,NA,NA,2,1.1601205885994976,150.33024732999473,132.73351166450672,1.13257191379043,0,150.33024732999473,1
LowerLemhi_2018,3,87.51648739775148,21.36479576711681,3,0,8,225.7070431053,1.329156573373033,0,3.544417528994755,1678.6268855272,1.1,0.47375,1.083556065742277,225,9,2.819296663258016,5,5,6,33.7,4.18095,0.24906964353111172,589.832877176,0.3513781902705278,406.384876726,0.2420936303533398,6,2.658313146746066,120.63553612541462,95.999302571557,1.2566292972336335,105.82939498066041,226.46493110607503,1.87726550881855
LowerLemhi_2018,4,90.55018658962496,29.785827665975948,0,1,5,146.59795705599998,0,0.6821377460383046,3.410688730191523,1686.45598371,1.4,0.838,0.6706189108367463,0,20,5.853069856976609,11,2,5,22.5,2.929425,0.17370302150167108,1575.609826374,0.934272724336302,NA,NA,5,3.410688730191523,145.31460873822618,143.77008370087873,1.010743021062441,0,145.31460873822618,1
LowerLemhi_2018,5,95,0,1,0,1,129.400719371,0.7727932308729576,0,0.7727932308729576,1771.39690703,0,0,NA,0,10,4.006700876590449,6,0,2,0,0,0,NA,NA,NA,NA,2,1.5455864617459152,129.90701533295316,129.36916299313674,1.00415750034531,0,129.90701533295316,1
LowerLemhi_2018,6,92.34483118187089,15.61185723610199,2,0,7,221.6515009768,0.9023173726260205,0,3.1581108041910713,2446.1972987895,1.12,0.5914285714285714,0.8635020772851605,46.800000000000004,3,0.866490523768235,1,1,1,0,0,0,1561.3182681409999,0.6382634258134524,NA,NA,1,0.45115868631301026,222.20036730926012,214.2883438329719,1.0369223231407085,0,222.20036730926012,1
LowerLemhi_2018,7,95,0,1,0,1,288.390347536,0.34675224345890054,0,0.34675224345890054,3428.15888805,0,0,NA,0,1,1.781283034585413,1,1,1,0,0,0,NA,NA,NA,NA,1,0.34675224345890054,288.63135397235624,285.15385080505445,1.0121951822059705,0,288.63135397235624,1
LowerLemhi_2018,8,95.9485132674445,19.344805158631715,1,1,4,104.4053065202,0.957805722074599,0.957805722074599,3.831222888298396,1212.654550562,1.05,0.4425,1.1941637256819346,0,0,0,0,0,0,0,0,0,715.741967699,0.5902274207995115,NA,NA,0,0,103.60880650178993,97.98631918848463,1.0573803298243094,0,103.60880650178993,1
